sku,descricao,gross_price,price,pagamento,date,day,hour
45172,Perfume Lancôme La Vie est Belle Feminino L'Eau de Parfum ,299.0000,299,"10x de R$ 29,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
66390,Perfume Carolina Herrera Good Girl Feminino Eau de Parfum,299.0000,299,"10x de R$ 29,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
58083,Perfume Light Blue Feminino Dolce&Gabbana Eau de Toilette,276.0000,276,"10x de R$ 27,60",2020-05-05 19:58:47.098746,05/05/20,19:58:47
45187,Perfume J'adore Dior Feminino Eau de Parfum,199.0000,199,"9x de R$ 22,11",2020-05-05 19:58:47.098746,05/05/20,19:58:47
50298,Perfume Carolina Herrera 212 Vip Rosé Feminino Eau de Parfum,289.0000,289,"10x de R$ 28,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
48112,Perfume Dior Miss Dior Feminino Eau de Parfum,299.0000,299,"10x de R$ 29,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
63796,Perfume 212 Sexy Feminino Carolina Herrera Eau de Parfum,279.0000,279,"10x de R$ 27,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
53588,Amor Amor Feminino Eau de Toilette,259.0000,245.0000,"10x de R$ 24,50",2020-05-05 19:58:47.098746,05/05/20,19:58:47
91359,Perfume Lancôme Idôle Feminino Eau de Parfum,259.0000,259,"10x de R$ 25,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
52458,Perfume Paco Rabanne Lady Million Feminino Eau de Parfum,299.0000,299,"10x de R$ 29,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
54034,Perfume Olympéa Feminino Paco Rabanne Eau de Parfum,299.0000,299,"10x de R$ 29,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
52317,Perfume 212 VIP Feminino Carolina Herrera Eau de Parfum,289.0000,289,"10x de R$ 28,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
56075,Perfume Chloé Feminino Eau de Parfum ,372.0000,372,"10x de R$ 37,20",2020-05-05 19:58:47.098746,05/05/20,19:58:47
44092,Perfume Britney Spears Fantasy Feminino Eau de Parfum,352.0000,239.0000,"10x de R$ 23,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
45194,Hypnotic Poison Feminino Eau de Toilette,425.0000,425,"10x de R$ 42,50",2020-05-05 19:58:47.098746,05/05/20,19:58:47
63146,Perfume Givenchy Ange ou Démon Feminino Eau de Parfum,419.0000,419,"10x de R$ 41,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
49554,Perfume Giorgio Armani Sí Feminino Giorgio Armani Eau de Parfum,299.0000,299,"10x de R$ 29,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
85121,Perfume Givenchy L'Interdit Feminino Eau de Parfum,289.0000,289,"10x de R$ 28,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
49986,La Petite Robe Noire Feminino Eau de Toilette,250.0000,250,"10x de R$ 25,00",2020-05-05 19:58:47.098746,05/05/20,19:58:47
63014,CH Feminino Eau de Toilette,309.0000,309,"10x de R$ 30,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
45943,212 Feminino Eau de Toilette,279.0000,279,"10x de R$ 27,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
44414,Armani Code Feminino Eau de Parfum,439.0000,439,"10x de R$ 43,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
54469,Rouge Royal Feminino Eau de Parfum,299.0000,233.0000,"10x de R$ 23,30",2020-05-05 19:58:47.098746,05/05/20,19:58:47
49897,Perfume Miss Dior Blooming Bouquet Feminino Eau de Toilette,169.0000,169,"8x de R$ 21,13",2020-05-05 19:58:47.098746,05/05/20,19:58:47
52231,Fantasy Eau de Toilette,180.0000,180,"8x de R$ 22,50",2020-05-05 19:58:47.098746,05/05/20,19:58:47
62653,S by Shakira Eau Florale Feminino Eau de Toilette,99.0000,99,"4x de R$ 24,75",2020-05-05 19:58:47.098746,05/05/20,19:58:47
71053,Black Opium Feminino Eau de Parfum,299.0000,299,"10x de R$ 29,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
62365,Perfume Kenzo Flower By Kenzo Feminino Eau de Parfum,259.0000,259,"10x de R$ 25,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
66365,Perfume La Petite Robe Noire Intense Feminimo Eau de Parfum,280.0000,280,"10x de R$ 28,00",2020-05-05 19:58:47.098746,05/05/20,19:58:47
75165,La Vie Est Belle Eclat Feminino Eau de Parfum,299.0000,299,"10x de R$ 29,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
71045,La Vie Est Belle Intense Feminino Eau de Parfum,399.0000,399,"10x de R$ 39,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
76632,Scandal Jean Paul Gautier Feminino Eau de Parfum,319.0000,319,"10x de R$ 31,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
65716,Prada Infusion d Iris Feminino Eau de Parfum,639.0000,639,"10x de R$ 63,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
87822,Perfume Guerlain Mon Guerlain Bloom Of Rose Feminino Eau de Toilette,230.0000,230,"10x de R$ 23,00",2020-05-05 19:58:47.098746,05/05/20,19:58:47
82031,Perfume Mugler Aura Feminino Eau de Parfum,589.0000,458.0000,"10x de R$ 45,80",2020-05-05 19:58:47.098746,05/05/20,19:58:47
55955,Princesse Marina de Bourbon Feminino Eau de Parfum,279.0000,206.0000,"10x de R$ 20,60",2020-05-05 19:58:47.098746,05/05/20,19:58:47
62979,Perfume Paco Rabanne Black XS Feminino Eau de Parfum,299.0000,299,"10x de R$ 29,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
66542,Miss Dior Absolutely Blooming Feminino Eau de Parfum,299.0000,299,"10x de R$ 29,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
57927,Animale Feminino Eau de Parfum,389.0000,311.0000,"10x de R$ 31,10",2020-05-05 19:58:47.098746,05/05/20,19:58:47
60527,Perfume Prada Candy Feminino Eau de Parfum,319.0000,319,"10x de R$ 31,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
48019,Royal Marina Diamond Feminino Eau de Parfum,329.0000,247.0000,"10x de R$ 24,70",2020-05-05 19:58:47.098746,05/05/20,19:58:47
85263,Perfume Giorgio Armani Si Passione Feminino Eau de Parfum,299.0000,299,"10x de R$ 29,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
70675,Perfume Mon Guerlain Sensuelle Feminino Eau de Parfum,245.0000,245,"10x de R$ 24,50",2020-05-05 19:58:47.098746,05/05/20,19:58:47
85777,Perfume Jean Paul Gaultier Scandal By Night Feminino Eau de Parfum ,349.0000,349,"10x de R$ 34,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
51749,Pure Poison Feminino Eau de Parfum,299.0000,299,"10x de R$ 29,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
88170,Body Spray Carolina Herrera 212 Vip ,199.0000,179.0000,"8x de R$ 22,38",2020-05-05 19:58:47.098746,05/05/20,19:58:47
81693,Perfume Guerlain Mon Guerlain Florale Eau de Parfum,265.0000,265,"10x de R$ 26,50",2020-05-05 19:58:47.098746,05/05/20,19:58:47
47179,J'Adore Feminino Eau de Toilette,425.0000,425,"10x de R$ 42,50",2020-05-05 19:58:47.098746,05/05/20,19:58:47
47155,Dior Addict Feminino Eau de Toilette,425.0000,425,"10x de R$ 42,50",2020-05-05 19:58:47.098746,05/05/20,19:58:47
73970,Perfume Paco Rabanne Olympéa Intense Feminino Eau de Parfum,329.0000,329,"10x de R$ 32,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
82101,Perfume Paco Rabanne Olympéa Aqua Feminino Eau de Parfum ,299.0000,299,"10x de R$ 29,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
85646,Perfume Guerlain Mon Guerlain Eau de Toilette,230.0000,230,"10x de R$ 23,00",2020-05-05 19:58:47.098746,05/05/20,19:58:47
69190,Perfume Paco Rabanne Lady Million Privé Feminino Eau De Parfum,329.0000,329,"10x de R$ 32,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
57675,Perfume Givenchy Dahlia Divin Feminino Eau de Parfum,289.0000,289,"10x de R$ 28,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
45604,Terracotta Le Parfum Eau de Toilette  30th Anniversary edition,360.0000,360,"10x de R$ 36,00",2020-05-05 19:58:47.098746,05/05/20,19:58:47
56797,Dior Addict Feminino Eau de Parfum,299.0000,299,"10x de R$ 29,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
71796,Perfume Jean Paul Gaultier Classique Essence Feminino Eau de Parfum,309.0000,309,"10x de R$ 30,90",2020-05-05 19:58:47.098746,05/05/20,19:58:47
88791,Perfume Lancome La Vie Est Belle En Rose Eau De Toilette,399.0000,338.0000,"10x de R$ 33,80",2020-05-05 19:58:47.098746,05/05/20,19:58:47
59417,Her Golden Secret Feminino Eau de Toilette,99.0000,99,"4x de R$ 24,75",2020-05-05 19:58:47.098746,05/05/20,19:58:47
